,potential_ceo_company
83769,The
84581,Morgan
84585,April Bloomberg Wall Street Journal
84587,Jamie Dimon
84822,Ron Johnson
84867,Penney
84871,July
84888,Getty ImagesJoe Mimran
84890,Ron Johnson It Spring
84898,Ron Johnson
84918,Michael Cavanagh
84919,Douglass Braunstein
84920,Jamie Dimon
85280,Aside
85763,Jefferies
85935,Twitter
86024,Yahoo Finance
86025,Mohamed El
86026,ErianMohamed El
86027,Erian
86053,Mohamed El
86083,South
86580,Robert Reynolds
86716,Buenrostro
86717,California Public Employees Retirement System
86761,Penney
86863,Jean
86969,Sandy Weill
87107,Goldman Sachs
87108,Lloyd Blankfein
87139,AirbusLion Air
87140,Rusdi Kirana Airbus
87141,Fabrice Br
87142,French President Francois Hollande
87190,Urban
88021,Albert Lam
88022,Lotus Engineering Group Managing Director Apple Asia
88039,Detroit Electric
88041,Don Graunstadt
88047,Tesla
88069,Day
88175,Morgan
88522,Christine Day
88575,Anand Nallathambi
88576,CoreLogic
88616,Goldman Sachs
88617,Lloyd Blankfein
88619,Jamie Dimon
88621,Morgan
88905,Ron Johnson
88906,The New York Post James Covert
88910,Johnson
88946,Insights
88959,Thomas Meyer
88960,Meyer Capital Group
88990,Larry Ellison
89027,Chair
89190,William
89638,Morgan
89701,Evening StandardSam Palmisano
89705,Palmisano
89706,Os
89719,Tyco
89720,Dennis Koslowski
89721,Merrill Lynch
89722,Jon Thain
89724,Samuel
89776,Fred Smith
89812,Yahoo
89813,Scott Thompson
89815,Marissa Mayer Google
89822,Bill Johnson
89853,Occidental Petroleum
89854,Ray Irani
89855,Hewlett
89856,Packard Pepsi
89918,White
90026,Christine Day
90096,Mark Parker President
90320,Cohan
90360,Democratic Congressional Campaign Committee
90428,Christine Day
90453,Lululemon
90496,Deloitte
90754,Over
91062,Os
91090,Actor Thomas Belesis With Fraud Business Insider The
91091,John Thomas Financial Wall Street
91127,Actor Thomas Belesis With Fraud Business Insider The
91128,John Thomas Financial Wall Street
91257,Howard Schultz
91272,Starbucks
91542,Goldman Sachs
91543,Lloyd Blankfein
91544,Monster Salvatore Iannuzzi
91635,Leo Apotheker
91644,Meg Whitman
91645,Leo Apotheker
91646,Cathy Lesjak
91885,In
91959,Oracle
92046,News
92274,Morgan Stanley
92837,Silver Lake Michael Dell
93711,Dick Costolo
93955,Brad Anderson
93956,Al Lenzmeier
93958,Hubert Joly
93975,Brian Dunn
93976,Walter Hickey
94096,Johnson
94143,Tom Joyce
94605,Parliament
94765,Anand Nallathambi
94766,CoreLogic
95061,Os
95653,James Covert The New York Post
95671,Penney
95725,Os
95914,Twitter
95921,Os
95932,Os
96089,Democratic Congressional Campaign Committee
96405,Yesterday Ford
96406,Alan Mulally
96870,Jefferies Group
96944,StockHouse
97061,We
97294,August
97564,Citigroup
97565,Sandy Weill
97566,Central Park West
97683,Editor
98553,European Union Patrick De Maeseneire
98554,Adecco Group Zurich
98567,Johnson
98772,Asia
99428,Monday
99442,Affordable Care Act
99444,Joseph Jimenez
99471,Novartis
99728,Romney
99996,Richard Handler
100027,Business Insider Editor
100030,Founder Henry Blodget
100410,Miami
100543,Elon Musk Tesla Motors
100780,Ron Johnson
100895,Lloyd Blankfein
101104,Neal
101347,Handler
101350,Richard Handler
101427,Navarette
101433,Fino
101524,Sandy Weill
101533,Promontory
101721,John Delaney
101796,Independent Democratic Conference Republicans
101851,That Timothy Cook
101876,Apple
101971,Golden State
102107,The
102171,Christine Day
102309,Citigroup
102341,Citigroup
102590,Sands China
102591,Steven Jacobs
102785,Wall Street
102805,There
102817,Wall Street
102975,Taylor
103331,Many
103384,Roth
103487,International Consortium Investigative Journalists
103578,The Oracle
103579,Os Wall Street
103581,Reed Hasting
103620,Cathy Baron Tamraz Business Wire
103748,Visual CapitalistFormer Enron
103749,Jeffrey Skilling
103804,Enron
103805,Jeff Skilling
103947,Former Enron
103948,Jeffrey Skilling
104615,UniCredit
104746,Rex Tillerson
104747,FuelFix
104748,Zain Shauk
104893,Chief Henry Blodget Team
104913,Stephen LamTesla
104914,Elon Musk
104929,Jon Corzine
104930,Goldman Sachs
104931,Governor State New Jersey
105143,Business Insider
105271,Toby Dayton
105272,LinkUp
