,potential_ceo_company
610686,Century Fox
610688,Century Fox
610701,Century Fox
610706,Jeff Bewkes
610746,Brian Moynihan
610807,Marissa Mayer
610881,Apple
610890,Galaxy
610984,AppDownload
610988,Microsoft Corp
610999,Microsoft
611026,Nati HarnikBerkshire Hathaway Chairman
611057,Hathaway Chairman
611079,Bloomberg
611147,As
611237,Internet Media
611238,Kordestani
611267,Manu Fernandez
611268,Ginni Rometty
611272,Ginni Rometty
611356,Bryce Weiner Director Cryptoeconomy Engineering Blockchain Technology Group
611397,Microsoft
611400,James Gorman
611401,After President Obama
611421,National Cybersecurity Communications Integration Center
611439,Pershing Square
611484,Michael Pearson
611602,Skiddy
611603,Stade
611604,OneWire Rottenberg
611623,OneWire
611661,James Gorman
611662,After President Obama
611756,Karam Allah
611757,Iraq United Bank Investment
611961,American Apparel
611989,Media General
611990,He
612132,James Gorman
612137,James Gorman
612144,Satya Nadella
612245,AppDownload
612247,Satya Nadella
612257,Nadella
612266,Microsoft
612282,Microsoft
612284,Microsoft
612325,Organization Economic Cooperation Development
612332,James Gorman
612609,Rupert Murdoch
612616,Murdoch
612661,Gamco Investors
612921,Third Point
612980,Daniel Loeb
612981,Third Point
613011,Third Point
613057,Chipotle
613161,Third Point
613271,Monday Mylan
613272,Heather Bresch
613375,President
613376,Mike Perlis
613379,Singapore Forbes Media
613380,Asia Will Adamopoulos
613401,Mike Perlis President
613419,Forbes Media
613737,Murdoch
613817,Ginni Rometty
613828,Les Moonves
613859,Larry Page
613869,Salar Kamangar
613885,Ford Motor Co
613886,Alan Mulally
613905,Corporation Leslie Moonves
613920,AppDownloadThomson ReutersNews Corporation
613922,House Immigration Citizenship Refugees Border Security International Law Subcommittee Capitol Hill Washington
613949,Mario Gabelli
614046,Satay Nadella
614125,Your
614222,Gates
614249,Brooks
614379,This
614462,Communications Technology American
614572,Rupert Murdoch
614739,Koil Russia
614751,Koil
614752,AppDownloadRaise Cache
614987,YouTube
615197,Airways
615236,Bloomberg Zainab Fattah
615368,Os
615369,William Clark
615371,Chairman
615377,John Case
615675,Jonathan ErnstNews Corporation Chairman
615677,Time Warner Chairman
615678,Jeffrey Bewkes
615697,Time Warner
615718,McDonald
615723,Os
615771,Belus Capital Advisors
615801,Bill Ackman
615845,Eduardo Munoz William Ackman
615846,Pershing Square Capital Management
615889,Morgan Asset
615934,Utahans
615937,Utah
616136,Michael Johnson
616250,Aubrey McClendon Kapadia
616285,OpenTable
616312,Herbalife
616503,Eduardo Munoz William Ackman
616504,Pershing Square Capital Management
616622,Os Sydney Reuters
616639,Reuters Insider
616793,Arabtec
616794,Arabtec
616882,Uber
617105,Washington
617119,Bill Ackman
617128,Michael Johnson
617348,Merrill Lynch
617507,Model
617510,Elon Musk
617556,Merrill Lynch Chairman
617557,John Thain
617563,AppDownload
617565,Satya Nadella
617589,AppDownload
617591,Tim CookApple
617611,Pad
617636,Apple
617694,AppDownload Jonathan Ernst
617695,Reuters Today
617710,Barry Diller American Express
617712,Viacom Inc
617713,Philippe Dauman
617736,MasterCard David Barger President
617737,JetBlue Airways Corporation Candace
617744,Chairman Executive Committee Hearst Corporation Stephen Berger Chairman Odyssey Investment Partners
617749,President Aetna Inc
617752,Jeff
617757,The Depository Trust Clearing Corporation Frank Branchini Chairman
617758,Emblem Health Services
617762,Xerox Corporation Michael
617766,Chief Executive Officer Willis Group Holdings Plc John Catsimatidis Chairman
617767,Red Apple Group Inc
617769,American Express Company Jane
617780,Viacom Inc
617781,Nicola Co
617782,President Welsh Carson Anderson
617792,Douglas Durst Chairman Durst Organization Inc
617794,Edelman Joel
617795,Senior Partner Ehrenkranz Partners
617796,Farkas Chairman
617797,Island Capital Group
617802,New York Community Bancorp Inc
617804,BlackRock Inc
617805,Chairman Ladder Capital Finance
617811,Wakefield Inc
617816,Managing Principal Centerbridge Partners MaryAnne Gilmartin President
617817,Forest City Ratner Companies Barry
617820,Weld North
617821,Robert Greifeld Chief Executive Officer The
617824,Founding First Republic Bank Marc Holliday President
617825,Green Realty Corp
617826,Holliday Chief Executive Officer National Grid Stephen
617832,Capital Partners
617833,Jeffrey Katz President
617834,Sherwood Equities Inc
617835,Kleinfeld Chairman
617840,Kohlberg Kravis Roberts
617847,Frak Chairman
617848,The LeFrak Organization Jeffrey
617849,Chairman Douglaston Development Pamela Liebman President
617850,The Corcoran Group Inc
617851,Lipton Senior Partner Wachtell Lipton Rosen
617853,Chairman President
617856,First Eagle Investment Management
617860,Founder Alexandria Real Estate Equities Inc
617863,Founding Partner Trian Partners John McAvoy Chairman President
617864,Con Edison Sherilyn McCoy Chief Executive Officer Avon Products Inc
617866,Moody Investors Service Mitchell Modell Chief Executive Officer Modell Sporting Goods Kenneth
617872,Atsushi Nakajima President
617873,Rockefeller Group International Inc
617874,Senior Advisor Providence Equity Partners Ronald Perelman Chairman
617875,MacAndrews
617876,Forbes Holdings Inc
617878,McGraw Hill Financial Charles
617880,Executive Officer Infor Deidre Quinn President
617881,Lafayette
617882,New York Ian
617883,Chairman Board
617884,Pfizer Inc
617888,Managing Partner Davis Polk
617898,Ross
617902,Interpublic Group Steven Roth Chairman
617903,Vornado Realty Trust Howard
617905,Vice Chairman
617906,Rudin Management Company Inc
617910,Alan
617917,Construction Co
617921,The Madison Square Garden Company Jerry
617924,Tishman Speyer Arthur
617926,OppenheimerFunds Inc
617927,Thompson President
617928,The New York Times Company Mary Ann Tighe Chief Executive Officer
617933,Loews Corporation Daniel
617934,Vice Chair Tishman Realty Partners John
617935,Chairman
617937,Chairman
617938,Neuberger Berman Group
617939,Charles Weinstein Chief Executive Officer EisnerAmper
617942,The Williams Capital Group
617948,Partnership New York City Tim Zagat Co
618068,Box
618113,Elon Musk
618270,Brad Katsuyama
618272,Exchange Kansas City
618281,Joe Ratterman
618428,Steve Ells
618497,Economic Advisor Director Bureau Competition Assistant Director Regulatory Evaluation Bureau Consumer Protection
618663,Apple
618676,Belus Capital Advisors
618877,Credit Suisse
618878,Brady Dougan Robert Shafir Hans Urlich
619081,Robert GalbraithFacebook
619082,Mark Zuckerberg
619086,Zuckerberg
619133,Os
619137,Os
619140,Os
619174,Os
619344,Facebook
619432,Brendan McDermid
619433,Sheng Fu
619434,Cheetah Mobile
619439,Co
619440,Indra Nooyi
619497,Herbalife
619584,Tony Fernandes
619585,AirAsia
619635,Tesla
619665,Richard Bernstein Advisors
619688,Brendan McDermidGilead
619690,Gilead Sciences Inc
619738,John Chambers Aspen Colorado
619797,Cisco
619806,Philanthropy
619845,Paul Maritz
619860,Joe Tucci
619862,Mware
619866,TaskRabbit
619960,West
619984,Indra Nooyi
620005,Richard Bernstein
620049,Ritholtz Wealth Management
620051,The Kindergarten
620070,Tilson
620250,Tim Cook
620265,PepsiCo
620267,Indra Nooyi
620268,Are Up
620269,Europe Britain
620349,May Apple
620350,Tim Cook
620524,Phone
620644,China
620718,Jeff Bewkes Time Warner
620719,Jeff Bewkes
620822,Chairman
620823,SecondMarket Holdings Inc
620829,SecondMarket
620836,SecondMarket
620837,SecondMarket
620838,SecondMarket
620841,Interim
620852,Charlie Scharf
620863,Mark Fields
620874,Mary Barra
620990,Jeff Bezos We
621035,Lloyd Blankfein
621036,Mayor Michael Bloomberg The
621062,Zillow
621089,San Francisco World Spirits Competition International Wine Spirit Competition Wine Magazine Enthusiast Beverage Testing Institute Tequila
621119,Robert GalbraithFacebook
621120,Mark Zuckerberg
621125,Mark Zuckerberg
621143,Facebook
621150,Oculus
621218,Caveat Emptor
621219,Cromwell Coulson
621272,Gary Cameron
621273,Mary BarraGiven General Motors
621286,Capitol Hill
621591,Howard Levine
621774,February
621854,Here
621860,William Simon
621868,Foran
621869,Walmart China
621890,John Martin
621897,Facebook
621908,Albert GeaFacebook
621913,Mark Zuckerberg
621931,Doug Oberhelman
622193,Portuguese Bank Espirito Santo
622194,Ricardo Salgado
622201,Thomson ReutersPortuguese Bank Espirito Santo
622202,Salgado
622208,Banco Espirito Santo
622645,AppDownloadGreenlight Capital
622743,Bear Stearns
622864,Bear Stearns
622865,Morgan Chairman Emeritus
622867,Jamie Dimon
622869,Mary Callan Erdoes
622889,Ace Greenberg
622890,Bear Stearns
622896,Jimmy Cayne
622923,Ace Greenberg
622924,Bear Stearns
622935,Lee Munson
622936,New Mexico
622951,Alan Ace Greenberg
623004,Charlie Scharf
623021,Musk
623028,Tesla
623096,Javier Romero
623098,Hunter Walker
623232,Ex
623359,Charlie Scharf
623385,Germany
623557,AppDownloadThomson ReutersRupert Murdoch
623559,Allen Co
623562,Rupert Murdoch
623632,Herb Chambers
623633,Herb Chambers Cos
623705,Warner
623950,Howard Levine
624041,Gabelli
624477,AppDownloadThomson ReutersAmazon
624478,Jeff Bezos
624509,Michael Yoshikami
624510,Destination Wealth Management
624770,Yelp
625242,AppDownloadThomson ReutersGoldman Sachs Group Inc
625244,North American Energy Summit New York
625285,Morgan Stanley
625428,Tuesday
625510,Valeant
625593,Japanese
625603,AppDownloadThomson ReutersDarden Restaurants
625605,Reuters Food Summit Chicago Reuters
625617,James Mitarotonda
625619,Otis
625637,Amen Otis
625814,Morgan Stanley
625926,Michael Johnson Herbalife
626007,Family Dollar
626110,Os
626226,Fortune
626243,Os Boards
626244,Os
626249,Family Dollar
626253,Family Dollar
626372,AppDownloadSkiftVirgin America Founding
626373,Fred ReidEditor
626374,Virgin America
626376,Virgin America
626377,Fred Reid
626381,Virgin America
626385,GetGoing Reid
626386,Virgin America
626387,Delta Air Lines Lufthansa
626538,Family Dollar
626559,Os
626616,Virgin
626724,Jonathan Miller
626725,New York City
626773,Pete Flint
626776,Spencer Rascoff
626826,Spencer Rascoff
626827,Trulia
626828,Pete Flint
626834,Trulia
626980,Os
626984,Os
627174,German
627196,Pierre Petit
627317,Bob Sasser
627338,Dollar Tree
627368,Chairman
627499,Indra Nooyi
627737,Dick Costolo
627793,Kaplan
627943,Baltimore Boston Chicago Cincinnati Columbus Detroit Indianapolis Philadelphia Pittsburgh St
627976,Seth Sulkin President
627977,Pacifica Capital
628007,AppDownloadOracle
628008,Larry Ellison
628020,Os
628110,Dick Costolo
628329,Ethan MillerTwitter
628330,Dick Costolo
628338,Dick Costolo
628347,AppDownload For
628348,Weingarten
628349,The Hunt
628365,Skiddy
628366,Stade
628753,Lloyd Blankfein Sting
628959,French
628986,Elon Musk
628989,Stockton
628993,Justin Sullivan
629141,Scott Davis
629281,London
629313,Arnd WiegmannSwiss
629314,Sergio Ermotti
629553,Steve Ballmer
629650,AppDownload
629651,Samsung Mobile
629652,Shin Samsung
629782,Greg Young
629783,AmeriServ Trust
629833,Os
629844,Fuld
629859,Zirkel
629870,Os
630131,Os
630219,Os
630384,Boeing
630394,Airbus
630397,Boeing
630400,Skymark Airlines
630402,Now Airbus
630627,Kart
630642,Goldman Sachs
630647,Wal
630709,Energy Materials Industrials Consumer Discretionary Consumer Staples Healthcare Financials Information Technology Telecommunications Utilities
630764,Daniel
630805,It
630807,Amazon
630963,Power Lunch
630965,Lloyd Blankfein
630972,Os
631207,Dick Costolo
631264,Jay Yarow
631265,Dick Costolo
631276,September
631608,Consulting
631709,Dick Costolo
631817,Wednesday
631979,Merrill Lynch
632005,Renault
632194,Justin SullivanLinkedIn
632204,Jeff Weiner Here
632213,Jon Stein
632214,Dubner
632241,Sally Smith
632456,Brandt
632510,Elon Musk
632531,Mobile
632674,Communications Holdings Inc
632675,Michael Strianese
632676,Reuters Aerospace Defense Summit
632710,Credit Derivatives Determinations Committee Washington
632858,While
632883,John DeSimone
632951,Vince McMahon
632952,World Wrestling Entertainment
633012,Avi Reichental
633022,Fortune
633154,Meg Whitman
633537,Elon Musk
633592,Gregg Steinhafel
633601,Indra Nooyi Journal
633608,Michael Stores Inc
633755,Rick Wilking Berkshire Hathaway
633756,Warren Buffett Reuters
633757,Warren Buffett Berkshire Hathaway Inc
633770,Chrysler
633774,June
634073,Credit Derivatives Determinations Committee
634207,Valeant
634241,Michael Pearson
634255,Tesla
634287,Elon Musk
634553,Bill Gross
634555,Bloomberg Nine Pimco
634563,Mohamed El
634608,February
635360,Betterment
635361,Jon Stein
635362,Dubner
635492,Matthew Prince
636253,Os
636255,Mark Zuckerberg Google
636258,Os America
636259,Os
636260,Larry Ellison Marc Benioff
636276,Bob Benmosche
636279,Peter Hancock
636434,Softbank
636497,Richard Handler
636798,Wolf
636826,Meg Whitman
636830,Autonomy
636843,Mike Lynch
636882,Trulia Zillow
636982,John Idol
636983,In North America
637285,America Quit
637528,Audi
637671,AppDownloadReuters
637673,John Legere
637680,Dan Hesse
637681,Ina Fried
637683,Marcelo Claure
637685,Brightstar
637694,John Legere
637786,Bob Iger
637807,Disney
637831,Jay Yarow Vivint Solar
637832,Todd Pedersen
637874,Spencer Rascoff Zillow
637885,Trulia
637958,News Corp
637959,Os Sydney July
637970,Rupert Murdoch Fox
638040,AppDownloadThomson ReutersFile
638042,John Legere
638058,Tuesday
638119,On Monday
638121,Rich Handler
638325,Kevin Monday
638339,Os
638352,Colin Hunter
638353,Alton Lane
638455,Fiat
638464,Fiat
638627,AppDownloadReutersInterim
638628,Target John Mulligan
638641,Target
638649,Peter Hancock
638748,Michael Kors
638819,Co
638831,Gracia Martore
639007,David Nish
639076,Rupert Murdoch
639077,Century Fox Time Warner
639078,Jeffrey Bewkes Allen Co
639113,Time Warner
639371,Ritholtz Wealth Management New York
639397,Jacobs
639428,Fiat
639442,Marchionne
639449,Chrysler
639591,AppDownloadThomson ReutersAckman
639592,Pershing Square Capital Management
639643,BloombergBusinessweek
639644,Keith McMullin
639659,First Century Fox Inc
639661,Allen Co
639667,News Corp
639855,Rupert Murdoch
639864,Brian Kelley Keurig President
639888,Dan Hesse
639998,Europe Organization Economic Cooperation Development
640024,Bob Iger
640025,Karasyov You
640219,Dan Hesse
640354,Mike CasseseFiat Chrysler
640355,Sergio Marchionne
640362,Chrysler
640394,Entertainment Resorts
640395,Robert Griffin
640440,Herbalife
640459,The Financial Times Gundlach
640460,DoubleLine
640555,Board Directors
640601,Rupert Murdoch
640901,Audi
640917,Chrysler
640968,Valle
640974,Pacific
641150,Tuesday
641159,Group
641227,Rupert Murdoch
641366,Fortune
641522,Mark Murray
641537,Tekmira Pharmaceuticals Corporation Nasdaq
641549,President Tekmira Pharmaceuticals
641563,President Tekmira Pharmaceuticals
641592,Tekmira Tekmira Pharmaceuticals Corporation
641595,Tekmira
641917,AppDownloadThomson Reuters
641919,John Legere
641956,Os
642016,David Peterson Trust
642031,Business Insider
642169,Scott
642170,James
642291,Elon Musk
642295,Business Insider
642313,John Melloy
642314,Ross
642354,Fortune
642639,Os
642653,Povrokznick Foxtrot
642930,Rupert Murdoch
642966,Wednesday
643181,Os
643411,Windstream Holdings Frontier Communications
643625,Ebola Tekmira
643626,Mark Murray
643685,Ts Courtney Weaver Kathrin Hille
643795,Tokyo
643896,James Gorman
644227,Partners
644285,Hainer
644341,Hainer
644440,January
644930,Shanghai Food Drug Administration Shanghai Administration Industry Commerce
644971,Thursday
645196,Reuters
645318,He
645606,Richard Handler
645838,Sunday Kinder Morgan
645839,Richard Kinder
646025,James Gorman
646180,Colin Hunter
646181,Alton Lane
646200,Os
646202,Mark Zuckerberg Google
646205,Os America
646206,Os
646207,Larry Ellison Marc Benioff
646303,David Peterson Trust
646695,Renault
646709,Richard Handler
646710,Wall Street
646879,Gazprom
646948,German
646984,Tesla Motors
647065,Morgan
647095,Os
647385,Kinder
647387,Rich Kinder
647411,September
647775,Banana Republic
647859,Rich Kinder
647865,Kinder Morgan
647911,Zillow
647921,Spencer Rascoff
647936,Kinder Morgan Energy Partners
647937,On Sunday
647945,Chairman
648053,Richard Kinder
648281,Asset Management
648313,Microsoft
648332,Microsoft
648403,Microsoft
648603,Adam Nash Wealthfront
648604,The San Francisco
648858,King
648936,International Congress Mathematicians
649186,House Representatives Financial Services Committee Capitol Hill Washington
649533,Tuesday
649557,Morgan Europe
649622,Morgan Stanley
649797,Os
649885,Bezos
649890,Bezos
649951,Rupert Murdoch
649979,Kasper Rorsted
650100,Microsoft
650110,Microsoft
650115,Microsoft
650119,Microsoft
650120,Steve Ballmer
650162,Taobao
650188,Microsoft
650219,German
650252,Henkel
650253,Kasper Rorsted
650501,AppDownloadOverstockOverstock
650502,Patrick Byrne
650520,Byrne
650560,Steve MarcusJohn Chambers
650561,Cisco SystemsCisco
650562,John Chambers
650569,Cisco
650589,Dov Charney
650734,Family Dollar
650779,Chipotle
650780,Chipotle
651000,Getty ImagesCisco
651001,John Chambers
651002,Cisco
651180,Jim Atchison
651182,Wall Street
651273,AppDownloadThomson ReutersAckman
651274,Pershing Square Capital Management
651429,Icahn
651476,SeaWorld
651477,SeaWorld
651768,Macy Chairman
651772,Macy Inc
651913,Merrill Lynch
652125,Bollore Telecom Italia
652126,Marco Patuano
652221,Jonathan Lu
652222,Lucy Peng
652326,AppDownloadThomson ReutersAmazon
652467,Morgan Stanley
652517,Seoul Wednesday International Congress Mathematicians
652569,Muhtar Kent
652731,Muhtar Kent
652742,Tesla
652800,AppDownload
652822,Robin
652826,Erian
653071,Fiat
653145,Pearson
653153,Allergan
653161,Kevin Reddy
653162,Shares Noodles
653165,Noodles
653202,Cisco
653204,Cisco
653281,Erian
653282,Chief Economic Advisor Allianz
653287,AppDownloadThomson ReutersGeneral Electric Chairman
653302,AppDownloadThomson ReutersGeneral Motors
653303,Mary Barra
653319,AppDownloadThomson ReutersBerkshire Hathaway
653352,OneWire
653353,Skiddy
653354,Stade Sawaya
653369,OneWire
653433,Wal
653584,Thursday
653663,Steve Carley Red Robin Gourmet Burgers
653676,Mayer
653677,Mayer
653684,Mayer
653984,John Chambers
654172,Putin
654372,Marc Bolland
654403,AppDownload Thomson ReutersAckman
654404,Pershing Square Capital Management
654584,Elon Musk
654585,Elon Musk
654610,Musk
654843,Garutti Goldman Sachs Group Inc
654859,Reuters
654973,Mike Ullman
654978,Penney
654981,Penney
654983,Stephen Sadove
655081,March
655332,John Varley
655428,Jim Atchison
655437,Sept
655490,Jane Stevenson
655491,Korn Ferry International
655493,Fortune
655495,Struggles Reuters
655512,Laurent Potdevin
655531,Nielsen Holdings
655532,David Calhoun
655533,Arthur Nielsen Jr
655539,Alan Mulally
655540,Ford Motor Co
655541,Marshall Goldsmith
655635,Organisation Economic Cooperation Development
655710,Muhtar Kent
655752,We
655860,Jack Koraleski
655903,Union Pacific
656348,Mart
656377,Kaplan
656405,It
656468,Chief Financial Officer Frank Friedman
656475,Barack Obama
656480,Presidential Council Election Administration
656535,Thursday
656537,Monster
656542,Coke
656550,Coke
656563,Coke
656684,Concentrated Gentrification
656724,And
656747,Google
656878,We
656886,Skiddy
656887,Stade Sawaya
656902,OneWire
657167,Jeff Weiner L Mountain View California September
657178,We
657190,Jeff Weiner
657192,LinkedIn
657238,LinkedIn
657338,Rich Kinder
657372,Kinder
657391,Kinder
657600,You
657685,You
657717,Angelo Mozillo
657718,Os Lehman Brothers
657765,Jeff
657767,Jeff
658094,AppDownloadAeropostale
658095,Thomas Johnson
658098,Aeropostale
658103,Twitter Rob Wilson
658108,Aeropostale
658116,AppDownloadAeropostale
658117,Thomas Johnson
658119,December
658125,Twitter Rob Wilson
658134,Aeropostale
658199,Mohamed El
658229,Family Dollar
658259,Chairman
658342,Monday
658440,Office National Counterintelligence Executive
658457,Assistant Director Counterintelligence Division Federal Bureau Investigation
658463,Assistant Director Counterintelligence Division Federal Bureau Investigation
658470,Assistant Director Counterintelligence Division Federal Bureau Investigation
658865,Co
658871,Paal Kibsgaard
658872,Ward Schlumberger
658906,Group
658919,Adirek Sripratak
659349,Family Dollar
659477,Hakan Samuelsson
659513,Samuelsson
659539,Volvo
659629,Morgan
659630,Asia
659704,Flight
659916,AppDownloadThomson ReutersBatista Chairman
660085,Ferguson
660124,PetSmart
660176,Dick Sporting Goods Dick
660177,Edward Stack
660207,AppDownload
660209,Ice Bucket
660239,AppDownloadThomson ReutersAllergan
660241,New York Reuters
660286,Steve Sather
660524,St
660565,Howard Levine
660575,Levine
660596,Levine
660599,Levine
660616,Bank America
660617,Brian Moynihan
660630,Dick Sporting Goods Dick
660631,Edward Stack
660644,Richard Hayne
660714,Apple
660751,Dick Sporting Goods Dick
660752,Edward Stack
660759,Getty ImagesApple
660760,Tim Cook
661043,Core
661141,ThemeForest Collis Ta
661212,Frank Blake
661232,Is Out
661233,Thomas Johnson
661234,Julian Geiger
661381,Frank Blake
661385,Frank Blake
661422,Dick Sporting Goods Dick
661423,Edward Stack
661528,Sprint
661534,SoftBank Corp
661536,Claure
661537,Sprint
661559,Monday
661643,Mark Hurd
661711,Pure Storage
661712,Scott Dietzen
661714,Pure Storage
661719,Scott Dietzen
661721,Pure Storage
661897,Ford
661927,United States
662008,Carl Icahn
662019,Angelo Mozilo
662052,Meg Whitman
662054,Outlook For
662112,Betterment
662143,Kevin LamarqueCountrywide Financial Corporation
662144,Angelo Mozilo
662145,House Committee Oversight Government Reform Capitol Hill Washington March
662148,Angelo Mozilo
662150,Countrywide
662155,Countrywide
662194,Angelo Mozilo
662784,Brian Chesky
662895,Amy Webb
662896,Webbmedia Group
662921,Computer Science Artificial Intelligence Laboratory
663107,Bob Aiken
663108,Feeding America
663327,Target
663375,Eh
663522,Bombardier
663673,James Roche
663674,Houseplans
664042,Organization Economic Cooperation Development
664074,AppDownloadThomson ReutersSheri Atwood
664075,SupportPay
664076,Reuters Redwood City
664176,Steve Ballmer
664254,It
664264,Video On FacebookThomson ReutersAllergan
664265,Pyott
664266,New York Reuters
664269,Valeant Pharmaceuticals International Inc Pershing Square Capital Management
664348,Jim Atchison
664584,Warren Buffett
664614,Warren Buffett
664751,Ford
664874,Eddie Lampert
664889,Sozzi
664934,Ford
665230,AstraZeneca
665231,Pascal Soriot
665280,Os
665409,Gas Exploration Consumer Finance Biotech Semiconductors Specialty Chemicals Gas Utilities
665987,Aeropostale
666030,Philip Balboni
666031,Wednesday James Foley
666040,Rick Dreiling
666142,Dollar Tree
666322,AppDownloadThomson ReutersWilliam Ackman
666323,Pershing Square Capital Management
666348,Patricia Angus
666718,Reuters
666793,January
667328,Pierre Petit
667329,McDonald France
667361,French
667374,American
667389,Pierre Petit
667390,McDonald France
667413,American
667626,Microsoft
667796,Brendan McDermidChairman
668529,The Conference Board
668530,Conference Survey
668531,Os
668561,Financial Regulatory Committee Financial Economist Roundtable
668718,Paris
668783,Kurt Jetta
668784,Tabs Group
668920,Jean
668921,Pierre Petit
668922,McDonald France
668960,Bov
668964,September
668981,Jean
668982,Pierre Petit
668983,McDonald France
669024,Petit
669136,Germans
669137,Eric Neubauer
669138,France Neubauer Group
669169,Norbert Reithofer
669398,John Hailer
669399,Natixis Global Asset Management Americas Asia
669583,Getty ImagesTwitch
669584,Emmett Shear
669639,Like Twitch
669642,Emmett Shear
669652,Dear Twitch Community It
669658,Twitch
669662,Disclosure Jeff Bezos
669809,Association Mineworkers Construction Union
669947,Hortons
669948,Marc Caira
670074,Martin
670131,Martin
670185,Tim Hortons
670186,Marc Caira
670700,Monday
670850,Rick Wilking Berkshire Hathaway
670896,American
671103,AppDownloadThomson ReutersAllergan
671104,Pyott
671105,New York Reuters
671242,Hubert Joly
671385,Morgan Stanley
671413,American Apparel
671591,Daniel Schwartz
671605,Buffett
671641,Josh Schwartz
671854,Lucas JacksonGoldman Sachs
671855,Lloyd Blankfein
671875,DoubleLine Capital
671876,Brian SnyderBill Ackman
671877,Pershing Square Capital
671966,Tuesday
672095,We
672109,Tuesday
672154,We
672155,Arie Belldegrun
672181,Cooperative Research Development Agreement
672229,Burger King
672296,Daniel Schwartz
672301,Burger King
672430,Caira President
672431,Tim Hortons
672440,Daniel Schwartz
672449,Caira President
672450,Tim Hortons
672452,Chairman Director
672460,Tim Hortons Burger King
672461,Os
672479,Burger King
672532,Hubert Joly
672683,Hubert Joly
672757,Zillow
672975,Monday
672980,Burger King
673036,Alan Joyce
673078,Roche
673146,SoftBank Corp
673201,Vision Knight Capital
673446,Labor Day
673447,Bedell Cellars North Fork Cutchogue
673549,Anything
673679,Russian
673846,ImagesBurger King Corp
673847,Bernardo Hees
673852,Burger King
673929,Rich Handler
673936,AppDownloadYoutube
673938,Rich Handler
673939,Ice Bucket Challenge
673946,Landry
673947,Tilman Fertitta Bank New York Mellon
673948,Gerald Hassel
673949,Pitbull
673953,Rich Handler
673954,Ice Bucket Challenge
674061,Gary Cameron
674062,Mary Barra
674093,Wesson
674094,James Debney
674244,Michael Kowalski
674308,ReutersFormer Enron
674309,Jeffrey Skilling
674310,Senate Commerce
674334,Jeffrey Skilling
674358,Wesson
674359,James Debney
674429,France Telecom
674430,Stephane Richard
674431,Lagarde Sarkozy
674641,Countrywide
674678,Ford
674711,China DailyStephen Schwarzman
674712,Blackstone Group
674713,Insights
674784,Bloomberg Betty Liu
674785,Bob Benmosche
674949,The Conference Board
674950,Conference Survey
675048,Benmosche
675062,Larry Downing
675071,Morgan Chase
675090,Larry Downing
675092,Jamie Dimon
675099,Morgan Chase
675156,Family Dollar
675587,Tokyo
676001,Pershing Square Capital
676019,Ray Benton
676068,August
676119,Sprint
676122,Marcelo Claure
676135,Mobile
676169,August
676239,Organizational Adjudication Committee
676406,Uber
676893,Jeff Bezos
677286,Banco Espirito Santo
677287,Ricardo Salgado
677504,Resorts
677696,AppDownloadThomson ReutersFiat Chrysler
678068,AppDownloadThomson ReutersNorwegian Cruise Line
678069,Sheehan
678619,Warren Buffett
678717,Shanghai
679388,John Borghetti
679403,It
679409,Robert GalbraithApple
679410,Tim Cook
679411,World Wide
679415,Bloomberg
679743,Beurden
679847,The
679893,Richard
680009,Richard Anderson
680222,Tesla
680324,Andersen Tax
680325,Mark Vorsatz
680326,Arthur Andersen
680331,Jeff Skilling
680383,ImagesAngelo Mozilo Former Countrywide
680384,Angelo Mozilo
680385,Bloomberg Max Abelson
680677,Canadian
680708,Legislation Attorney Joint Congressional Committee Taxation
680803,Family Dollar
680980,Abe
680981,Abe
681152,Hotel Casino
681153,Mark Giannantonio
681167,Ken Moelis
681297,Legislation Attorney Joint Congressional Committee Taxation
681384,Daniel Doctoroff
681775,Our
681862,Business Insider
682230,Gigafactory
682267,Family Dollar
683041,AppDownloadThomas Jefferson High SchoolRecognize
683046,Lloyd Blankfein
683056,Os
683069,July
683111,Richard Branson
683153,Chrysler
683254,Shelly Banjo
683255,According Stifel Nicolaus
683285,Mark
683375,Alexei Miller
683379,Miller
683461,Phibro
683462,Occidental Petroleum
683814,Calls For Common Bonds
683815,Blessing
683837,Paris
683891,Aug
683916,Moore
684062,Rick WilkingApple
684063,Tim Cook
684066,Tim Cook
684067,The Wall Street Journal Thursday
684131,Steve Sather
684466,Wikimedia CommonsSteven Ma
684467,ThinkTank Learning
684687,Rockwell
684689,PriceWaterhouseCoopers
684747,Boeing
684772,AppDownloadStreetEasyWarner Music Group
684773,Stephen Cooper
685277,Apple
685281,Apple
685342,Reuters
685436,Mr
685656,Morgan
685868,AppDownloadThomson ReutersZuckerberg
685870,Seminar
685872,Telmex
685938,Dan Doctoroff
685939,Doctoroff
686030,Tesla
686062,Buckingham
686114,AppDownloadThomson ReutersWilliam Ackman
686115,Pershing Square Capital Management
686248,Sunny Lee
686266,Apple
686282,Nick Hayek
686296,Andy Mooney
686303,Quiksilver
686306,Pascal RossignolBoeing Ray Conner R Ryanair
686307,Michael OLeary
686608,The Wall Street Journal Daisuke Wakabayashi
686609,Tim Cook
686725,Guardian
686750,Jefferies
686835,Rosengren
686935,Management
686989,AppDownloadThomas Jefferson High SchoolRecognize
686994,Lloyd Blankfein
687224,Yves Saint Laurent
687225,Paul Deneve
687543,China July
687662,Wikimedia CommonsSteven Ma
687663,ThinkTank Learning
687878,Rockwell
687880,PriceWaterhouseCoopers
